"Prefix","Number","Title","Hours","Description","Unk","Taught"
"AHST","1303","Survey of Western Art History: Ancient to Medieval","3","An introduction to painting, sculpture, and architecture in the West from prehistory through the late Middle Ages and including the achievements of the ancient Egyptian, Greek, Roman, and Medieval cultures. Monuments will be studied within their historical, religious, and social contexts, with particular focus on the role of art in society and on the development of style.","3-0","Y"
"AHST","1304","Survey of Western Art History: Renaissance to Modern","3","An introduction to painting, sculpture, and architecture in the West from the Renaissance to the modern period, including work by such artists as Michelangelo, Rembrandt, the Impressionists, and Picasso. Artists and monuments will be studied within their historical, religious, and social contexts, with particular focus on the role of art in society and on the development of style.","3-0","Y"
"AHST","2331","Understanding Art","3","An investigation into the nature of the visual arts with an emphasis on the issues and ideas that artists explore through their work and how these ideas translate into the artwork. Attention will be given to the interpretation or ""reading"" of the artwork and how it may relate to society.","3-0","Y"
"AHST","2390","Topics in Art History","3","Subjects will vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: AHST 1303, AHST 1304, AHST 2331, or ARTS 1301.","3-0","R"
"AHST","2V71","Independent Study in Art History","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum).","[1-3]-0","R"
"AHST","3315","The Art of the Renaissance","3","Studies in the art and architecture of Italy and Northern Europe during the 14th, 15th, and 16th centuries. Special attention is paid to the role of patronage, the developing self-consciousness of the artist, and the importance of new techniques. Prerequisite: AHST 1303, AHST 1304, AHST 2331,  or ARTS 1301.","3-0","T"
"AHST","3316","The Art of the Baroque","3","Studies in the art and architecture of the 17th and 18th centuries in Europe. Emphasis is on the social and religious bases of the baroque styles and on the impact of certain artistic personalities, such as Bernini, Rubens, Velazquez, and Rembrandt. Prerequisite: AHST 1303, AHST 1304, AHST 2331,  or ARTS 1301. ","3-0","T"
"AHST","3317","Pioneers of Modern Art","3","Focus on the work of the Post-Impressionists (Seurat, Gauguin, Van Gogh, and Cézanne) and the Symbolists with special emphasis on the artist's contribution to the discourse of ideas and the crisis of meaning in the late 19th century. Prerequisite: AHST 1303, AHST 1304, AHST 2331,  or ARTS 1301. ","3-0","T"
"AHST","3318","Contemporary Art","3","An issue-oriented class in which a selection of recent developments in art serve to introduce the ideas and aims of postmodernism. Special attention is given to those artists who are concerned with representation and the visual element in social constructs. Prerequisite: AHST 1303, AHST 1304, AHST 2331,  or ARTS 1301. ","3-0","T"
"AHST","3319","Twentieth-Century European Art: Avant-Garde and Aftermath","3","The situation of the European avant-garde before and after its explosive center point of World War I. Special emphasis will be given to the breakthrough of abstraction and modernism's problematic relation to tradition. Prerequisite: AHST 1303, AHST 1304, AHST 2331,  or ARTS 1301. ","3-0","R"
"AHST","3320","Art in Historical Context","3","Studies in the arts and/or architecture of such eras as ancient Greece and Rome or the 18th and 19th centuries. May be repeated for credit as topics vary (9 hours maximum). Prerequisite: AHST 1303, AHST 1304, AHST 2331,  or ARTS 1301. ","3-0","T"
"AHST","3324","History of Photography","3","Photography, from 1825 to the present, as a study of evolving styles, stressing key turning points and contributing factors and focusing on a background of the modern art movement and the psychology and events of the times. Critical analysis of the work of various photographers will be included. Topics may include an emphasis on 19th century, modern, or contemporary photography. Prerequisite: AHST 1303, AHST 1304, AHST 2331,  or ARTS 1301. ","3-0","T"
"AHST","4342","Topics in Art History","3","Subjects will vary from semester to semester. May be repeated for credit as topics vary (6 hours maximum). Prerequisite: AHST 1303, AHST 1304, AHST 2331, or ARTS 1301.","3-0","R"
"AHST","4V71","Independent Study in Art History","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisites: Upper-division standing, and completion of all lower-division requirements in AP and permission of the instructor.","[1-3] -0","R"
"AP","2335","The Creative Process","3","Through discussions, readings, and media presentations of work by contemporary artists, thinkers, makers, and doers, students will begin to discover methods and approaches to the creative experience. This course may be taken only by majors other than Art and Performance and is intended for students without formal studio experience.","3-0","T"
"AP","2V71","Independent Study in Art and Performance","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Consent of instructor required.","[1-3] -0","R"
"AP","3300","Elements of Art and Performance","3","An analysis of the elements of space, time, image, text, and gesture as they relate to art making in the various visual and performing arts. These elements will also serve as a starting point from which students will investigate notions of creativity, expression, and aesthetics in a workshop setting. Explorations into what constitutes a work of art, and ways in which a work of art can be perceived and interpreted. This course is a requirement for all AP majors and should be taken prior to completing the first 12 hours of upper-division course work. It is normally offered only during the fall and spring semesters. Prerequisite: ARTS 1301 or AHST 1303 or AHST 1304 or AHST 2331 or DANC 1310 or DRAM 1310 or FILM 2332 or MUSI 1306.","3-0","S"
"AP","3344","Topics in Performance","3","Investigations of the changing structures and methods of performance in theatre, dance, music, film/video, and the visual arts. Students will explore the ""idea of art"" that resides in works which exhibit no singular stylistic attributes and which cut across the traditional boundaries among media. Consideration will be given to the changing role of contemporary criticism that includes analyses outside the formalist tradition: semiotics, Marxism, phenomenology, feminism, and post structuralism. May be repeated for credit as topics vary (9 hours maximum). Prerequisites: Upper-division standing, and completion of all lower-division requirements in AP and permission of the instructor.","3-0","R"
"AP","4370","Interdisciplinary Studies in Art and Performance","3","Subject matter may vary from semester to semester. May be repeated for credit as topics vary (9 hours maximum). Prerequisites: Upper-division standing and completion of all lower-division requirements in AP and permission of the instructor.","3-0","R"
"AP","4399","Senior Honors in Art and Performance","3","Intended for students conducting independent research for honors theses or projects. Signature of instructor on proposed project outline required.","3-0","R"
"AP","4V71","Independent Study in Art and Performance","1-3","Independent study under a faculty member's direction. Signature of instructor on proposed project outline required. May be repeated for credit (9 hours maximum). Prerequisites: Upper-division standing and completion of all lower-division requirements in AP. Consent of instructor required.","[1-3]-0","R"
"ARAB","1311","Beginning Arabic I","3","This course will integrate acquisition of the four language skills (listening, speaking, reading, and writing) with study of Arab culture and civilization.","3-0","Y"
"ARAB","1312","Beginning Arabic II","3","This course is a continuation of Beginning Arabic I. It will integrate acquisition of the four language skills (listening, speaking, reading and writing) with study of Arab culture and civilization.","3-0","Y"
"ARAB","2311","Intermediate Arabic I","3","This course is a continuation of Beginning Arabic. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course emphasizes conversation, vocabulary acquisition, reading, composition, and culture.","3-0","Y"
"ARAB","2312","Intermediate Arabic II","3","This course is a continuation of Intermediate Arabic I. It will include review and application of skills in listening comprehension, speaking, reading, and writing. The course focuses on conversation, vocabulary acquisition, reading, and composition.  A major course component will be an emphasis on Arabic culture.","3-0","Y"
"ARTS","1301","Exploration of the Arts","3","This course introduces students to the physical and intellectual demands required of the author, the performer, and the visual artist. This introduction includes, but is not limited to, the student's production of a creative project as well as written assessments of art and performance.","3-0","Y"
"ARTS","1311","2D Design Foundations","3","This course provides a foundation for most 3000-level art courses. The course will introduce the problem of working with color and design, emphasizing either traditional studio or digital processes. Lectures and discussions will relate to both the history of visual art and current issues in contemporary art and design.","0-3","Y"
"ARTS","1312","3D Design Foundations","3","This course provides a foundation for courses in sculpture and installation. Emphasis will be placed on working with the materials of sculpture. Concepts that are relevant to three-dimensional design, such as space, mass, and texture, will be presented in a context that relates to the history of sculpture as well as current issues in contemporary art and design.","0-3","Y"
"ARTS","1316","Drawing Foundations","3","This course provides a foundation for drawing and printmaking classes. Emphasis will be placed on the process of charcoal drawing in relation to design concerns such as light, space, form and composition. The importance of drawing as a method both to describe reality and to conceptualize ideas will be stressed.","0-3","Y"
"ARTS","2311","Topics in Visual Art","3","An introduction to specialized topics in the visual arts.  May include historical or cultural elements of visual arts, a genre or artist, or digital aspects of visual art.   May be repeated for credit as topics vary (9 hours maximum).","0-3","R"
"ARTS","2316","Painting Foundations","3","This course provides a foundation for painting classes. Emphasis will be placed on color theory and design as they relate to the process of painting. Lectures and discussions will address both the history of painting and current issues in contemporary art. This course will cover an introduction to the materials of painting, color mixing, and the preparation of painting surfaces.","0-3","Y"
