prefix,number,title,credits,description,prereq,frequency
ATEC,2320,Introductory Topics in Arts and Technology,3,Introduces students to the field of arts and technology. Sections may be devoted exclusively to a single aspect of the field or to a combination of related aspects.,,S
ATEC,2321,Writing and Research for New Media,3,This writing-intensive course focuses on writing for new and emergent media environments. The course will introduce digital and electronically augmented information-gathering techniques for use in emerging media and communications.,,Y
ATEC,2322,Introduction to Electronic and Digital Communications,3,"The course will examine the history of electronic communications with a critical view of their effects on society. The focus will be on the role of the Internet in contemporary life, the commodification of news and information, and will introduce electronic and digital research methods for emerging media and communications.",ATEC 2321,Y
ATEC,2326,Computer Animation Processes ,3,"From pre-production to production and post-production, there are a number of stages in creating 3D computer animation. This course introduces students to the field of 3D computer animation by providing an overview of a production pipeline and its inter-connected steps, such as storyboarding, character design, modeling, texturing, lighting, rigging, animating, rendering, sound recording, and editing. The major goal of this course is to assist students with finding an area of concentration within the field of 3D computer animation",,T
ATEC,2331,Storyboard and Pre-production,3,"Students learn pre-visualization techniques for planning out time-based media projects (film, video, animation, interactive, etc.). Students are given a survey of visual storytelling techniques, such as framing, composition, camera movements, and editing techniques.  Students gain an understanding of narrative story structure and plot construction, as well as learn how to communicate their ideas clearly through the use of storyboards and concept arts. ",,S
ATEC,2382,Computer Imaging,3,"Introduction to digital image-making and manipulation using contemporary software applications. Graphic and photographic methods are presented and applied to art and design problems. Computer images are prepared for multiple delivery environments, including the Internet, games, animation, and print.",,S
ATEC,2383,2D Traditional Animation,3,"Students learn techniques for traditional hand-drawn animation and fundamental principles of animation that are universally applicable to 2D, 3D, and web based animation. ",ATEC 2331,S
ATEC,2384,Basic Design Principles and Practices,3,"Foundational overview of design principles and practices common to all design professions, including general rules, laws, and guidelines of commercial design. Students will be introduced to the language of design, sources and resources of design practice, and design specializations and their integration with various relevant technical disciplines.",,S
ATEC,2385,Sound Design,3,"Introduction to sound design whose main goal is to show and explain the role of sound in single or multiple aspects of the field, including multimedia productions, animation, video games, movies, and live performances.",,S
ATEC,3317,3D Modeling and Texturing I,3,"An introduction to 3D computer modeling and texturing.  Students will learn how to model hard surface objects with emphasis on creating clean geometric meshes.  Basic texturing fundamentals and techniques will be covered, including UV editing, texture map creations, and application and shader types. Prerequisite: ATEC 2382 .",,S
ATEC,3318,Concept Development,3,The creation and development of game and animation concepts through various writing and creation techniques. This class is writing intensive and includes basic design drawing skills lessons.,,S
ATEC,3319,Voice Over,3,"This course explores the psychological implications as well as the artistic, cultural and social dimensions of the use of voice in films, games, and for various other applications. Students will record, edit, process and diffuse recorded voices as well as learn how to select a voice, write for auditory presentations and direct recording sessions. May be repeated for credit as topics vary (6 hours maximum)  Prerequisite: ATEC 2385.",,S
ATEC,3320,Introduction to Writing and Editing for the World Wide Web,3,"Introduction to web content writing and editing and the theory and practice of writing online, interactive multi-media text. Emphasis will be placed on editing for the web, fact-checking, and style. The course will emphasize process writing and editorial practices. Prerequisite: RHET 1302.",,S
ATEC,3325,Introduction to Computer Mediated Communication,3,An introduction and exploration of the impact of computer technology's influence on human communications. Emphasis will be placed on survey and study of emerging modalities of computer mediated communication activities. Additional analysis of theoretical perspectives involving linguistics and cultural studies among other approaches. Prerequisite: RHET 1302.,,S
ATEC,3326,Emergent Media and Mass Communications,3,"The course will introduce emerging practices in new media. It will blend theoretical studies and project-intensive practice in leading-edge applications of digital media, interactive media, and Internet communications. Prerequisite: ATEC 2321 or ATEC 2322 or permission of instructor.",,Y
ATEC,3327,Lighting and Composition I,3,"An introduction to the process of lighting, rendering and compositing computer generated images.  Students will learn to create custom lighting setups and how lighting affects mood, time, and viewer perception.  Additional topics include global illumination, final gather, and render layers. Prerequisite: ATEC 3317.",,Y
ATEC,3328, Rigging I,3,"This course is an introduction to the concepts, tools and techniques used in 3D animation for setting up clean and efficient 3D rigs that are easily able to be animated. Topics will include hierarchical structures, joints and bones, constraints, creating useful and predictable deformations and setting up simple and intuitive control structures for use in animation.",,Y
ATEC,3330,Digital Video Production I,3,"Introduction to digital video production examining shooting, editing, and nonlinear post-production techniques. Students will work individually and in teams to produce short video projects. A variety of delivery environments may be explored, including web, mobile, and DVD.",,Y
ATEC,3351,Computer Game Development,3,"Introduction to methods and techniques used in the creation of interactive games. Coursework will focus on the basic principles of game-play mechanics, player dynamics, and project management. May be repeated for credit (6 hours maximum). Prerequisites: ATEC 2382 .",ATEC 2382,Y
ATEC,3352,Computer Game Design,3,"Introduction to critical analysis and creative design of interactive games. Topics include player motivation, game dynamics, gamer culture, and the formation of compelling experiences within increasingly complex, open-ended technology. May be repeated for credit (6 hours maximum). Prerequisite: RHET 1302.",,Y
ATEC,3353,Game Studies ,3,"Introduction to critical game studies, including analysis of digital and analog games as cultural artifacts, logical systems, technological objects, social media, and narrative experiences. Coursework will focus on basic principles of analysis, criticism, rhetoric, and ludology",,Y
ATEC,3361,Internet Studio,3,"Introduction to researching, designing, producing, and distributing Internet content. Through readings, class discussions, and class projects, this class focuses on the various means and techniques for publishing networked digital material. The course will help students develop the ability to create and present a networked portfolio of their digital work. Prerequisite: ATEC 2382.",ATEC 2382,Y
